CardId	Year	Conference	tweetFiltrado
166	2015	7	ukraine;destroyed;equipment;drone;destroyed;t72b;tank;bmp2;ifv;captured;bmp3;ifv;destroyed;mtlb;bmp;variant;happened;week;ago;image;unreleased
167	2004	0	ukraine;ukrainian;force;struck;122mm;d30;howitzer;2s19;mstas;propelled;howitzer;artillery;destroying;equipment;munition
168	2010	0	breaking;cut;electricity;finland;saturday;supplier;;afp
169	2002	0	9;saint;petersburg;local;resident;turned;audio;story;crime;military;ukraine;song;vladimir;vysotsky;neighbour;hear;police;arrived;detained;woman;watch;apartment
170	2002	0	trophy;seized;ukrainian;border;guard;counteroffensive;operation;kharkiv;oblast;ukraine
171	2021	1	television;network;rtvi;published;map;military;commissariat;hit;molotov;cocktail;month
172	2004	4	norilsk;despite;blizzard;resident;celebrate;victoryday
173	2007	0	ukraine;treat;dead;soldier;better;treat;ukrainian;civilian;pick;body;leaf;store;family;chance;goodbye;authority;deprived;ajenglish;report
174	2012	9	tyumen;region;strong;forest;fire;highway;blocked;tyumenkrivodanova
175	2010	5	longer;version;bayraktar;tb2;video;march;showing;aftermath;ukrainian;tb2;drone;corrected;mrls;fire;strike;appears;artillery;position;mykolaiv;oblast;ukraine
176	2006	4	flew;cuckoo;nest;9th;victory;day;parade;ide;wtf;mass;psychosis
177	2017	0	ukraine;reached;final;eurovision;2022;kalushorchestra;perform;song;stefania;final;14th;supposed;perform;semifinal;today;suspended;attack;ukraine
178	2006	8	laboratory;left;popular;molecular;allergy;test;coming;month;deficiency;complicate;diagnosis;disease;caused;refusal;american;thermo;fisher;scientific;supply;equipment;reagent
179	2001	7	burning;afv;struck;ukrainian;79th;air;assault;brigade;eastern;front;ukraine
180	2010	0	leave;boorish;illegal;step;western;country;reaction;zakharova
181	2004	0	medvedev;nato;effort;flood;weapon;train;troop;deploy;mercenary;hold;drill;russia;border;increase;odds;direct;open;russianato;conflict;risk;turn;fullon;nuclear;war;–;disastrous;scenario
182	2008	0	body;proof;war;crime;ministry;defense;ukraine;bury;expense;colonel;vladimir;lyamzin;told;reporter
183	2000	0	bloomberg;predicts;economy;shrink;12;percent;year;war;sanction;subsanctioned;country;world;toll;worst;economic;downturn;30;year;1994
184	2006	0	afv;going;flame;hit;stugnap;atgm;delivered;ukrainian;25th;airborne;brigade;ukraine
185	2008	0	kherson;kherson;people;republic;referendum;decree;based;appeal;vladimir;putin;request;introduce;region;federation;occupying;authority;kherson
186	2013	0	clear;anonymous;cyber;battle;continue;putin;aggression;ukraine;cease;continue;hack;leak;sensitive
187	2012	0	wave;dnrlpr;conscript;aweinspiring;mosins;helmet;korean;war;tapping;bottom;garbage;bag;glory;ukraine
188	2010	0	urge;blockade;ukrainian;port;lead;starvation;world
189	2002	5	lie;propaganda;ukrainian;drone;sinking;ship;snake;island;maxar;satellite
190	2004	0	ukraine;unseen;footage;ukrainian;force;firing;missile;pantsir;s1;anti;aircraft;system;damaging;pantsir;documented
191	2023	0	time;emmanuelmacron;offering;concession;ukraine;sovereignty;eager;putin;offer;concession;france;sovereignty;acceptable;ukraine;acceptable;france
192	2010	8	correspondent;french;tv;channel;bfmtv;arrived;moscow;expected;empty;shelf;high;price;product;appear;occasionally;turned;largescale;sanction;imposed;minimal;impact;daily;life;russian
193	2002	7	order;russia;offensive;direction;severodonetsk;lysychansk;ukrainian;force;destroyed;railway;bridge;seized;enemy;key;link;rubizhne;severodonetsk;luhansk;region;report;head;luhansk;regional;administration
194	2013	7	burning;gear;struck;ukrainian;53th;mechanized;brigade;ukraine
195	2003	3	resolution;designate;state;sponsor;terrorism;submitted;senate;yay;standwithukraine
196	2004	0	ukraine;ukrainian;soldier;front;destroyed;bmp2;infantry;fighting;vehicle;battle;east;yesterday
197	2001	7	artillery;work;ukrainian;63rd;separate;mechanized;brigade;ukraine
198	2004	5	fm;lavrov;choice;work;hypersonic;weapon;knew;perfectly;missile;defence;system;aimed;north;korea;iran;china;needed;weapon;guaranteed;overpower;missile;defence
199	2002	0	uav;image;area;appears;retreating;attempt;remaining;unit;ended;failure;loss;amounted;80;destroyedabandoned;equipment;danspiun;check;quoted;tweet;detail;ukraine
200	2010	0	good;call;foreign;minister;trussliz;preparing;nato;foreign;minister;meeting;week;minister;address;russia;war;ukraine;enduring;longterm;support;kyiv;consult;close;partner;finland;sweden
201	2007	8	gas;station;completely;stopped;selling;fuel;;shop;cafe;continue;work;loyalty;program;stop;working;20
202	2005	4	russia;ambassador;poland;doused;red;paint;warsaw
203	2003	0	newzealand;announced;sanction;list;includes;igor;konashenkov;spokesman;defense;ministry;igor;kostyukov;head;main;directorate;general;staff;representative;military;propagandist
204	2002	9	bashkortostan;forest;nature;reserve;slope;maly;yamantau;mountain;fire;ten;forest;fire;total;area;1500;hectare;recorded;irkutsk;region;fire;spreading;alarming;rate;difficult
205	2002	8	afghanistan;overrun;taliban;terrorist;group;plan;buy;oil;gas;report;kommersant;taliban;recognized;terrorist;organization
206	2007	0	statement;attacked;ukraine;provocative;behaviour;typical;excuse;aggressor;wearing;makeup;short;skirt;choice;rape;obnoxious;;stoprussianow;skynews
207	2006	0	ukraine;ukrainian;force;destroyed;zala;42116е2;reconnaissance;uav;second;downed;war;day;ago
208	2010	7	drone;operated;sf;15th;ukrainian;main;directorate;dropping;projectile;vehicle;zaporizhia;oblast;ukraine
209	2010	0	30;vpn;user;estimated;30;internet;user;putin;failing;controlling;access
210	2016	0	amnesia;person;tv;studio;lying;beria;died;talkradio;foxification;medium;keep;people;glued;set;everlarger;jolt;bullshit
211	2021	0	point;putin;announcement;escalation;mobilization;admission;failure;hell;cast;fight;nato;lost;week;military;;victoryday
212	2007	7	ukraine;ukrainian;force;captured;second;bat2;heavy;engineering;vehicle;war;capture;captured;ago;undocumented;ht;kemal115
